2017-09-18 23:31:14 [localhost-startStop-1] INFO 	o.s.b.w.s.FilterRegistrationBean-[AbstractFilterRegistrationBean.java:258]-Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-09-18 23:31:14 [localhost-startStop-1] INFO 	o.s.b.w.s.FilterRegistrationBean-[AbstractFilterRegistrationBean.java:258]-Mapping filter: 'requestContextFilter' to: [/*]
2017-09-18 23:31:14 [main] INFO 	o.s.w.s.m.m.a.RequestMappingHandlerAdapter-[RequestMappingHandlerAdapter.java:534]-Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1a0dcaa: startup date [Mon Sep 18 23:31:12 IST 2017]; root of context hierarchy
2017-09-18 23:31:14 [main] INFO 	o.s.w.s.m.m.a.RequestMappingHandlerMapping-[AbstractHandlerMethodMapping.java:543]-Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-09-18 23:31:14 [main] INFO 	o.s.w.s.m.m.a.RequestMappingHandlerMapping-[AbstractHandlerMethodMapping.java:543]-Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-09-18 23:31:14 [main] INFO 	o.s.w.s.h.SimpleUrlHandlerMapping-[AbstractUrlHandlerMapping.java:362]-Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-09-18 23:31:14 [main] INFO 	o.s.w.s.h.SimpleUrlHandlerMapping-[AbstractUrlHandlerMapping.java:362]-Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-09-18 23:31:14 [main] INFO 	o.s.w.s.h.SimpleUrlHandlerMapping-[AbstractUrlHandlerMapping.java:362]-Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-09-18 23:31:14 [main] INFO 	o.s.b.a.w.WebMvcAutoConfiguration$WelcomePageHandlerMapping-[WebMvcAutoConfiguration.java:549]-Adding welcome page: class path resource [static/index.html]
2017-09-18 23:31:15 [main] INFO 	o.s.j.e.a.AnnotationMBeanExporter-[MBeanExporter.java:431]-Registering beans for JMX exposure on startup
2017-09-18 23:31:15 [main] INFO 	o.a.coyote.http11.Http11NioProtocol-[DirectJDKLog.java:179]-Initializing ProtocolHandler ["http-nio-8656"]
2017-09-18 23:31:15 [main] INFO 	o.a.coyote.http11.Http11NioProtocol-[DirectJDKLog.java:179]-Starting ProtocolHandler ["http-nio-8656"]
2017-09-18 23:31:15 [main] INFO 	o.a.tomcat.util.net.NioSelectorPool-[DirectJDKLog.java:179]-Using a shared selector for servlet write/read
